                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1761,                 4.9161,                 2.2085,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0892,                 0.0012,                 0.0012
                      2,                 2.0109,                 4.4876,                 2.0764,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.077451,              0.0024505,              0.0024505
                      3,                 1.8924,                 3.7951,                 1.9812,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.06565,              0.0036495,              0.0036495
                      4,                 1.8017,                 3.2407,                 1.9092,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.053797,              0.0047971,              0.0047971
                      5,                 1.7408,                 2.8638,                 1.8535,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.041893,              0.0058931,              0.0058931
                      1,                 2.3372,                 5.7855,                  1.438,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.090298,               0.002298,               0.002298
                      2,                 2.1753,                 5.2164,                 1.3661,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.079693,              0.0046927,              0.0046927
                      3,                 2.0381,                 4.3445,                 1.3023,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.068989,              0.0069889,              0.0069889
                      4,                 1.9334,                 3.7942,                 1.2527,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.058187,              0.0091866,              0.0091866
                      5,                 1.8549,                 3.3647,                 1.1993,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.047286,               0.011286,               0.011286
                      6,                 1.8037,                 3.1026,                 1.1743,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.036286,               0.013286,               0.013286
                      7,                 1.7498,                 2.8116,                 1.1472,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.025188,               0.015188,               0.015188
                      8,                 1.7332,                 2.6923,                 1.1303,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.016497,               0.016497,               0.016497
