                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3287,                 5.7945,                 1.4407,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.090298,               0.002298,               0.002298
                      2,                 2.1667,                 5.2128,                 1.3583,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.079693,              0.0046927,              0.0046927
                      3,                 2.0478,                 4.3452,                 1.3026,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.068989,              0.0069889,              0.0069889
                      4,                 1.9243,                 3.7985,                 1.2522,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.058187,              0.0091866,              0.0091866
                      5,                 1.8559,                   3.38,                 1.2043,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.047286,               0.011286,               0.011286
                      6,                 1.7914,                 3.0777,                 1.1631,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.036286,               0.013286,               0.013286
                      7,                 1.7576,                  2.851,                 1.1486,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.025188,               0.015188,               0.015188
                      8,                   1.74,                 2.7262,                 1.1372,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.016497,               0.016497,               0.016497
                      9,                 1.7518,                 2.6678,                 1.1398,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.016497,               0.016497,               0.016497
                     10,                 1.7548,                 2.5831,                 1.1481,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.016118,               0.016118,               0.016118
                     11,                 1.7005,                 2.3641,                 1.1151,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.015739,               0.015739,               0.015739
                     12,                 1.6497,                 2.2821,                 1.1069,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01536,                0.01536,                0.01536
                     13,                 1.6311,                  2.126,                 1.0867,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.014981,               0.014981,               0.014981
                     14,                 1.5636,                 2.0018,                 1.0652,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.014602,               0.014602,               0.014602
                     15,                 1.5187,                 1.8495,                 1.0346,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.014222,               0.014222,               0.014222
                     16,                  1.498,                 1.7949,                 1.0288,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.013843,               0.013843,               0.013843
                     17,                 1.4786,                 1.7431,                 1.0211,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.013464,               0.013464,               0.013464
                     18,                 1.4144,                 1.6602,                0.99361,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.013085,               0.013085,               0.013085
                     19,                 1.4059,                  1.612,                0.99167,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.012706,               0.012706,               0.012706
                     20,                 1.3767,                  1.524,                0.97459,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.012327,               0.012327,               0.012327
                     21,                 1.3353,                 1.4237,                0.94525,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.011948,               0.011948,               0.011948
                     22,                 1.2958,                 1.3697,                0.92943,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.011569,               0.011569,               0.011569
                     23,                 1.2797,                 1.3412,                 0.9276,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01119,                0.01119,                0.01119
                     24,                  1.245,                 1.3023,                0.92834,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.010811,               0.010811,               0.010811
                     25,                 1.2126,                  1.251,                 0.9025,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.010432,               0.010432,               0.010432
