                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3239,                 5.7812,                 1.4343,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.090298,               0.002298,               0.002298
                      2,                 2.1714,                 5.2503,                 1.3614,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.079693,              0.0046927,              0.0046927
                      3,                 2.0368,                 4.3425,                 1.3047,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.068989,              0.0069889,              0.0069889
                      4,                 1.9154,                 3.7693,                 1.2513,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.058187,              0.0091866,              0.0091866
                      5,                 1.8617,                 3.4049,                  1.208,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.047286,               0.011286,               0.011286
                      6,                 1.7868,                 3.0171,                 1.1636,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.036286,               0.013286,               0.013286
                      7,                 1.7433,                  2.797,                 1.1426,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.025188,               0.015188,               0.015188
                      8,                 1.7348,                 2.6944,                 1.1345,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.016497,               0.016497,               0.016497
                      9,                 1.7495,                 2.6827,                 1.1431,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.016497,               0.016497,               0.016497
                     10,                 1.7619,                  2.625,                 1.1475,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.016118,               0.016118,               0.016118
                     11,                 1.7035,                 2.3795,                 1.1165,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.015739,               0.015739,               0.015739
                     12,                 1.6611,                 2.3317,                 1.1178,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01536,                0.01536,                0.01536
                     13,                 1.6564,                 2.2026,                 1.1081,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.014981,               0.014981,               0.014981
                     14,                 1.5826,                 2.0956,                  1.077,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.014602,               0.014602,               0.014602
                     15,                 1.5452,                 1.9447,                  1.061,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.014222,               0.014222,               0.014222
                     16,                 1.4965,                 1.7954,                 1.0267,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.013843,               0.013843,               0.013843
                     17,                 1.4821,                 1.7344,                 1.0203,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.013464,               0.013464,               0.013464
                     18,                 1.4183,                 1.6418,                 1.0015,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.013085,               0.013085,               0.013085
                     19,                 1.4195,                 1.6334,                 1.0017,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.012706,               0.012706,               0.012706
                     20,                  1.367,                 1.5306,                 0.9731,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.012327,               0.012327,               0.012327
                     21,                 1.3296,                 1.4199,                0.95092,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.011948,               0.011948,               0.011948
                     22,                 1.3057,                 1.4025,                0.94356,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.011569,               0.011569,               0.011569
                     23,                 1.2709,                 1.3409,                0.92751,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.01119,                0.01119,                0.01119
