                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2813,                 4.8243,                 2.2775,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0901,                 0.0011,                 0.0011
                      2,                 2.1537,                 4.1689,                 2.2931,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.079224,              0.0022241,              0.0022241
                      3,                 2.0422,                 3.9261,                 2.2229,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.068269,               0.003269,               0.003269
                      4,                 2.0206,                 3.8122,                 2.2283,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.057235,              0.0042347,              0.0042347
                      5,                 1.9785,                 3.7222,                 2.1903,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.046121,              0.0051212,              0.0051212
                      6,                  1.992,                 3.6605,                 2.1859,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.034929,              0.0059285,              0.0059285
                      7,                  1.969,                 3.5977,                 2.1775,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.023657,              0.0066566,              0.0066566
                      8,                 1.9624,                   3.54,                 2.1719,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.012305,              0.0073055,              0.0073055
                      9,                 1.9193,                 3.4966,                 2.1446,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00736,                0.00736,                0.00736
                     10,                 1.9111,                 3.4255,                 2.1442,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00736,                0.00736,                0.00736
                     11,                 1.8949,                 3.3597,                 2.1388,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     12,                 1.8698,                 3.3012,                 2.1077,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0067,                 0.0067,                 0.0067
                     13,                 1.8377,                 3.2227,                 2.0934,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00637,                0.00637,                0.00637
                     14,                 1.8159,                 3.1666,                 2.0758,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     15,                 1.8038,                 3.0979,                 2.0649,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00571,                0.00571,                0.00571
                     16,                 1.7753,                 3.0481,                  2.053,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00538,                0.00538,                0.00538
                     17,                 1.7803,                 3.0162,                 2.0539,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                     18,                 1.7436,                 2.9224,                 2.0223,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00472,                0.00472,                0.00472
                     19,                 1.7356,                 2.8828,                 2.0143,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00439,                0.00439,                0.00439
                     20,                   1.71,                 2.8149,                  1.997,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                     21,                 1.8144,                 2.9419,                 2.1795,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00373,                0.00373,                0.00373
                     22,                 1.7764,                 2.7946,                 2.1783,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0034,                 0.0034,                 0.0034
                     23,                 1.7454,                   2.67,                 2.1622,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                     24,                 1.7317,                 2.5736,                 2.1331,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00274,                0.00274,                0.00274
                     25,                 1.6751,                 2.4532,                 2.1052,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00241,                0.00241,                0.00241
                     26,                 1.6678,                 2.3729,                 2.0896,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                     27,                 1.6316,                 2.2909,                 2.0545,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00175,                0.00175,                0.00175
                     28,                 1.6084,                  2.235,                 2.0461,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00142,                0.00142,                0.00142
                     29,                 1.5739,                 2.1561,                 2.0071,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                     30,                 1.5377,                 2.0841,                 1.9823,                0.58337,                  0.307,                0.38007,                0.24591,                  1.727,                 2.4564,                 2.1929,                0.00076,                0.00076,                0.00076
