                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2206,                 4.6596,                 2.2506,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0892,                 0.0012,                 0.0012
                      2,                 2.1101,                 4.0556,                 2.2537,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.077451,              0.0024505,              0.0024505
                      3,                 2.0372,                 3.9047,                 2.2138,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.06565,              0.0036495,              0.0036495
                      4,                 2.0011,                 3.8147,                  2.214,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.053797,              0.0047971,              0.0047971
                      5,                 2.0106,                 3.7147,                 2.2033,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.041893,              0.0058931,              0.0058931
                      6,                 2.0016,                  3.667,                 2.1806,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.029938,              0.0069377,              0.0069377
                      7,                 1.9676,                 3.6412,                 2.1778,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.017931,              0.0079308,              0.0079308
                      8,                 1.9739,                 3.5655,                 2.1788,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008614,               0.008614,               0.008614
                      9,                 1.9535,                  3.572,                 2.1779,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008614,               0.008614,               0.008614
                     10,                 1.9429,                 3.4849,                 2.1661,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008416,               0.008416,               0.008416
                     11,                 1.9361,                 3.4106,                 2.1403,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008218,               0.008218,               0.008218
                     12,                 1.9047,                 3.3681,                 2.1291,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00802,                0.00802,                0.00802
                     13,                 1.9021,                 3.3392,                 2.1333,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007822,               0.007822,               0.007822
                     14,                 1.8971,                 3.2994,                 2.1235,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007624,               0.007624,               0.007624
                     15,                  1.871,                 3.2611,                 2.1137,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007426,               0.007426,               0.007426
                     16,                 1.8353,                 3.1709,                 2.0902,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007228,               0.007228,               0.007228
                     17,                 1.8283,                 3.0901,                 2.0682,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     18,                 1.7811,                 3.0535,                 2.0489,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006832,               0.006832,               0.006832
                     19,                 1.8225,                 3.1142,                 2.0865,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006634,               0.006634,               0.006634
                     20,                 1.7548,                 2.9564,                 2.0311,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006436,               0.006436,               0.006436
                     21,                 1.7918,                 2.9469,                 2.0494,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006238,               0.006238,               0.006238
                     22,                 1.7471,                 2.8797,                 2.0127,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     23,                 1.7512,                 2.8708,                 2.0255,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005842,               0.005842,               0.005842
                     24,                 1.7151,                 2.8543,                 2.0238,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005644,               0.005644,               0.005644
                     25,                 1.7176,                 2.7396,                 1.9873,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005446,               0.005446,               0.005446
                     26,                 1.7133,                 2.7377,                 1.9881,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005248,               0.005248,               0.005248
                     27,                 1.6706,                 2.6237,                  1.965,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                     28,                 1.6574,                 2.5689,                 1.9508,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004852,               0.004852,               0.004852
                     29,                 1.6667,                 2.5758,                 1.9533,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004654,               0.004654,               0.004654
                     30,                 1.6217,                 2.5296,                 1.9362,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004456,               0.004456,               0.004456
                     31,                 1.6259,                 2.4413,                 1.9156,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004258,               0.004258,               0.004258
                     32,                 1.5773,                  2.374,                 1.8797,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                     33,                 1.5703,                 2.2893,                 1.8638,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003862,               0.003862,               0.003862
                     34,                 1.5511,                 2.3068,                  1.857,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003664,               0.003664,               0.003664
                     35,                 1.5381,                  2.258,                 1.8599,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003466,               0.003466,               0.003466
                     36,                 1.5484,                 2.2437,                 1.8582,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003268,               0.003268,               0.003268
                     37,                 1.5493,                  2.261,                 1.8563,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                     38,                 1.5226,                 2.2066,                  1.843,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002872,               0.002872,               0.002872
                     39,                 1.4718,                 2.1389,                 1.8016,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002674,               0.002674,               0.002674
                     40,                 1.4811,                 2.1296,                 1.8149,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002476,               0.002476,               0.002476
                     41,                 1.5662,                 2.1511,                 1.9975,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002278,               0.002278,               0.002278
                     42,                 1.5238,                 2.0169,                  1.967,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                     43,                 1.4809,                 1.9247,                 1.9369,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001882,               0.001882,               0.001882
                     44,                 1.4412,                 1.8061,                 1.8983,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001684,               0.001684,               0.001684
                     45,                 1.4285,                 1.7552,                 1.8729,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001486,               0.001486,               0.001486
                     46,                 1.4051,                 1.7384,                 1.8734,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001288,               0.001288,               0.001288
                     47,                 1.3797,                 1.6506,                 1.8408,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                     48,                 1.3154,                 1.5532,                   1.78,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000892,               0.000892,               0.000892
                     49,                 1.3016,                 1.5153,                 1.7686,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000694,               0.000694,               0.000694
                     50,                 1.3034,                 1.5284,                 1.7762,                0.80171,                0.39284,                0.52991,                 0.3611,                 1.5423,                 1.9435,                 2.0516,               0.000496,               0.000496,               0.000496
