                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2009,                 7.3774,                 3.3844,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0748,                 0.0028,                 0.0028
                      2,                 3.3049,                 4.5876,                 3.1069,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.048587,              0.0055871,              0.0055871
                      3,                 3.2371,                 4.5362,                 3.0588,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.022259,              0.0082594,              0.0082594
                      4,                 3.2458,                  4.586,                 2.9889,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
                      5,                 3.2205,                 4.4975,                 2.9623,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009406,               0.009406,               0.009406
                      6,                 3.2061,                 4.4891,                 2.9248,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009208,               0.009208,               0.009208
                      7,                 3.1738,                 5.0863,                 2.9148,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                      8,                 3.1209,                 4.5296,                 2.9043,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008812,               0.008812,               0.008812
                      9,                 3.1379,                 4.5061,                 2.8906,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008614,               0.008614,               0.008614
                     10,                 3.1341,                  4.491,                 2.8747,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008416,               0.008416,               0.008416
                     11,                 3.1158,                 4.4904,                 2.8725,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008218,               0.008218,               0.008218
                     12,                 3.1295,                 4.4781,                 2.8796,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00802,                0.00802,                0.00802
                     13,                 3.0938,                 4.4626,                  2.875,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007822,               0.007822,               0.007822
                     14,                  3.049,                 4.4467,                  2.867,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007624,               0.007624,               0.007624
                     15,                 3.0581,                 4.4361,                 2.8541,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007426,               0.007426,               0.007426
