                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.102,                 4.7328,                 2.1429,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0748,                 0.0028,                 0.0028
                      2,                 1.9016,                 3.6073,                 1.9681,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.048512,              0.0055119,              0.0055119
                      3,                 1.7664,                 3.0441,                 1.8709,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.022032,              0.0080324,              0.0080324
                      4,                 1.7015,                 2.7087,                 1.8216,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                      5,                 1.6439,                 2.4573,                  1.774,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00901,                0.00901,                0.00901
                      6,                 1.6038,                  2.229,                 1.7396,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00868,                0.00868,                0.00868
                      7,                 1.5755,                 2.1038,                 1.7291,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00835,                0.00835,                0.00835
                      8,                 1.4885,                 1.9613,                 1.6748,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00802,                0.00802,                0.00802
                      9,                 1.4589,                  1.785,                 1.6272,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00769,                0.00769,                0.00769
                     10,                 1.3956,                 1.6507,                 1.5709,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00736,                0.00736,                0.00736
                     11,                 1.3414,                 1.5393,                 1.5394,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     12,                 1.3055,                 1.4377,                 1.4984,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0067,                 0.0067,                 0.0067
                     13,                 1.2692,                 1.3821,                 1.4852,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00637,                0.00637,                0.00637
                     14,                 1.2316,                 1.3082,                 1.4591,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     15,                 1.1817,                 1.2005,                 1.4183,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00571,                0.00571,                0.00571
                     16,                 1.1675,                 1.1977,                 1.4113,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00538,                0.00538,                0.00538
                     17,                  1.122,                 1.1258,                 1.3779,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                     18,                 1.1009,                 1.0855,                 1.3544,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00472,                0.00472,                0.00472
                     19,                 1.0701,                 1.0434,                 1.3374,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00439,                0.00439,                0.00439
                     20,                 1.0405,                0.99526,                 1.3167,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                     21,                 1.0438,                0.90793,                 1.3707,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00373,                0.00373,                0.00373
                     22,                0.98346,                0.81497,                 1.3223,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0034,                 0.0034,                 0.0034
                     23,                0.94692,                0.77174,                 1.2991,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                     24,                0.91538,                0.73106,                 1.2667,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00274,                0.00274,                0.00274
                     25,                0.87608,                0.69967,                 1.2487,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00241,                0.00241,                0.00241
                     26,                0.82988,                0.64704,                 1.2009,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                     27,                0.81801,                 0.6415,                 1.2115,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00175,                0.00175,                0.00175
                     28,                0.78519,                0.60345,                 1.1717,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00142,                0.00142,                0.00142
                     29,                0.76171,                 0.5821,                 1.1522,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                     30,                0.74131,                0.56639,                 1.1416,                 0.7852,                0.74809,                0.81889,                0.60615,                 1.1608,                 1.0285,                 1.5359,                0.00076,                0.00076,                0.00076
