                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0712,                 4.9039,                 2.0541,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0901,                 0.0011,                 0.0011
                      2,                 2.0114,                 4.0867,                 2.0642,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.079224,              0.0022241,              0.0022241
                      3,                 1.9581,                 3.8642,                 2.0734,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.068269,               0.003269,               0.003269
                      4,                 1.9464,                 3.7254,                 2.1066,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.057235,              0.0042347,              0.0042347
                      5,                  1.945,                 3.6159,                 2.0989,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.046121,              0.0051212,              0.0051212
                      6,                 1.9477,                 3.5514,                 2.0999,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.034929,              0.0059285,              0.0059285
                      7,                 1.9293,                 3.4866,                 2.0948,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.023657,              0.0066566,              0.0066566
                      8,                 1.9138,                 3.4217,                 2.0908,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.012305,              0.0073055,              0.0073055
                      9,                 1.9008,                 3.4002,                 2.0808,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00736,                0.00736,                0.00736
                     10,                 1.8972,                 3.3361,                 2.0801,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00736,                0.00736,                0.00736
                     11,                 1.8643,                 3.2614,                 2.0579,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     12,                 1.8429,                 3.2233,                 2.0487,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0067,                 0.0067,                 0.0067
                     13,                 1.8496,                 3.1768,                 2.0316,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00637,                0.00637,                0.00637
                     14,                 1.7946,                 3.0679,                 1.9974,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     15,                 1.7877,                 3.0163,                 2.0003,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00571,                0.00571,                0.00571
                     16,                 1.7461,                 2.9621,                 1.9825,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00538,                0.00538,                0.00538
                     17,                 1.7692,                 2.9709,                 1.9866,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                     18,                 1.7189,                 2.8687,                 1.9551,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00472,                0.00472,                0.00472
                     19,                 1.7111,                 2.8237,                 1.9501,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00439,                0.00439,                0.00439
                     20,                 1.6897,                 2.7709,                 1.9296,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                     21,                 1.7864,                 2.8491,                 2.1079,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00373,                0.00373,                0.00373
                     22,                 1.7744,                 2.7687,                 2.1227,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0034,                 0.0034,                 0.0034
                     23,                 1.7379,                 2.6406,                 2.0934,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                     24,                  1.713,                 2.5463,                 2.0701,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00274,                0.00274,                0.00274
                     25,                 1.6696,                 2.4538,                 2.0402,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00241,                0.00241,                0.00241
                     26,                  1.662,                  2.379,                 2.0192,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                     27,                 1.6199,                 2.2786,                 1.9757,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00175,                0.00175,                0.00175
                     28,                 1.6058,                 2.2318,                 1.9714,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00142,                0.00142,                0.00142
                     29,                 1.5773,                 2.1805,                 1.9577,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                     30,                 1.5453,                 2.1071,                 1.9262,                0.57004,                0.30355,                0.36594,                 0.2327,                 1.7182,                 2.4228,                 2.1024,                0.00076,                0.00076,                0.00076
