                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7558,                  5.212,                  2.954,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0901,                 0.0011,                 0.0011
                      2,                 3.2908,                 4.6862,                 3.2431,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.079224,              0.0022241,              0.0022241
                      3,                 3.2262,                 4.5692,                 3.0234,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.068269,               0.003269,               0.003269
                      4,                 2.9689,                 4.5543,                 2.9879,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.057235,              0.0042347,              0.0042347
                      5,                 2.8086,                 4.5655,                 2.9374,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.046121,              0.0051212,              0.0051212
                      6,                 2.7633,                 4.5639,                 2.9079,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.034929,              0.0059285,              0.0059285
                      7,                 2.7388,                 4.5612,                 2.8646,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.023657,              0.0066566,              0.0066566
                      8,                 2.6854,                 4.5263,                 2.8501,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.012305,              0.0073055,              0.0073055
                      9,                 2.6578,                 4.5329,                  2.845,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00736,                0.00736,                0.00736
                     10,                 2.6185,                 4.5153,                 2.8294,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00736,                0.00736,                0.00736
                     11,                 2.5719,                 4.4789,                 2.8103,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     12,                 2.5435,                 4.4633,                 2.7681,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0067,                 0.0067,                 0.0067
                     13,                   2.49,                  4.405,                 2.7108,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00637,                0.00637,                0.00637
                     14,                 2.4597,                 4.3786,                 2.6822,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     15,                 2.4162,                 4.3249,                 2.6518,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00571,                0.00571,                0.00571
                     16,                  2.393,                 4.2882,                 2.6302,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00538,                0.00538,                0.00538
                     17,                 2.3852,                   4.26,                  2.604,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                     18,                 2.3616,                 4.2351,                 2.5965,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00472,                0.00472,                0.00472
                     19,                  2.362,                 4.2072,                 2.5951,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00439,                0.00439,                0.00439
                     20,                 2.3384,                 4.1668,                 2.5544,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                     21,                 2.4134,                   4.44,                 2.7415,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00373,                0.00373,                0.00373
                     22,                 2.3991,                 4.3217,                 2.7299,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0034,                 0.0034,                 0.0034
                     23,                 2.3939,                 4.2696,                 2.7229,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                     24,                 2.3859,                  4.231,                 2.7072,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00274,                0.00274,                0.00274
                     25,                 2.3625,                 4.1971,                 2.6852,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00241,                0.00241,                0.00241
                     26,                 2.3596,                 4.1954,                 2.6782,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                     27,                 2.3516,                 4.1691,                 2.6568,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00175,                0.00175,                0.00175
                     28,                  2.347,                 4.1476,                 2.6509,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00142,                0.00142,                0.00142
                     29,                 2.3153,                  4.126,                 2.6414,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                     30,                 2.3167,                 4.1166,                 2.6358,                0.00375,                0.11196,                0.01031,                0.00437,                 2.7144,                 4.1632,                 2.9784,                0.00076,                0.00076,                0.00076
