                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1048,                 5.0452,                 2.0667,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0901,                 0.0011,                 0.0011
                      2,                 1.9226,                 5.0281,                 1.9664,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.079254,              0.0022545,              0.0022545
                      3,                 1.8299,                 4.9602,                 1.8864,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.068361,              0.0033614,              0.0033614
                      4,                 1.8024,                 4.7812,                 1.8533,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.057421,              0.0044208,              0.0044208
                      5,                 1.7839,                  4.572,                 1.8172,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.046433,              0.0054327,              0.0054327
                      6,                 1.8046,                 4.3295,                  1.816,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.035397,              0.0063971,              0.0063971
                      7,                 1.7974,                 4.0942,                  1.823,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.024314,               0.007314,               0.007314
                      8,                 1.8207,                 3.8667,                 1.8394,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.013183,              0.0081833,              0.0081833
                      9,                 1.8109,                 3.6422,                 1.8564,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008416,               0.008416,               0.008416
                     10,                 1.8173,                 3.4608,                  1.878,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008416,               0.008416,               0.008416
                     11,                 1.7967,                 3.3139,                  1.873,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008218,               0.008218,               0.008218
                     12,                 1.7571,                 3.1729,                  1.845,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00802,                0.00802,                0.00802
                     13,                 1.7378,                 3.0779,                 1.8418,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007822,               0.007822,               0.007822
                     14,                 1.6993,                 2.9425,                  1.814,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007624,               0.007624,               0.007624
                     15,                 1.6717,                 2.8676,                 1.8016,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007426,               0.007426,               0.007426
                     16,                 1.6399,                 2.7764,                 1.7846,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007228,               0.007228,               0.007228
                     17,                 1.6339,                 2.7389,                 1.7714,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     18,                 1.5951,                 2.6276,                 1.7503,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006832,               0.006832,               0.006832
                     19,                 1.5944,                 2.5794,                 1.7456,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006634,               0.006634,               0.006634
