                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1048,                 5.0452,                 2.0667,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0901,                 0.0011,                 0.0011
                      2,                 1.9213,                 5.0275,                 1.9686,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.079224,              0.0022241,              0.0022241
                      3,                 1.8337,                 4.9601,                 1.8871,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.068269,               0.003269,               0.003269
                      4,                 1.8004,                 4.7874,                 1.8535,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.057235,              0.0042347,              0.0042347
                      5,                  1.783,                 4.5825,                 1.8157,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.046121,              0.0051212,              0.0051212
                      6,                    1.8,                   4.36,                 1.8138,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.034929,              0.0059285,              0.0059285
                      7,                 1.7902,                 4.1181,                 1.8131,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.023657,              0.0066566,              0.0066566
                      8,                 1.8077,                 3.9026,                 1.8335,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.012305,              0.0073055,              0.0073055
                      9,                  1.798,                 3.6713,                 1.8477,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00736,                0.00736,                0.00736
                     10,                 1.8116,                 3.4748,                 1.8682,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00736,                0.00736,                0.00736
                     11,                 1.7787,                 3.3457,                 1.8552,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     12,                 1.7391,                 3.1989,                  1.827,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0067,                 0.0067,                 0.0067
                     13,                 1.7207,                 3.0873,                 1.8202,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00637,                0.00637,                0.00637
                     14,                 1.6864,                 2.9507,                 1.7934,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     15,                 1.6698,                 2.8963,                 1.7923,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00571,                0.00571,                0.00571
                     16,                 1.6184,                 2.7952,                 1.7668,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00538,                0.00538,                0.00538
                     17,                 1.6171,                 2.7517,                 1.7562,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                     18,                  1.582,                 2.6537,                 1.7417,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00472,                0.00472,                0.00472
                     19,                 1.5734,                 2.6037,                 1.7297,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00439,                0.00439,                0.00439
                     20,                 1.5386,                 2.4924,                 1.7039,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                     21,                 1.6016,                 2.5881,                 1.8256,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00373,                0.00373,                0.00373
                     22,                  1.548,                 2.4621,                 1.8116,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0034,                 0.0034,                 0.0034
                     23,                 1.5128,                 2.3421,                 1.7804,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                     24,                 1.4746,                  2.257,                 1.7407,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00274,                0.00274,                0.00274
                     25,                 1.4322,                 2.1957,                 1.7223,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00241,                0.00241,                0.00241
                     26,                 1.4229,                 2.1442,                 1.6965,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00208,                0.00208,                0.00208
                     27,                 1.3803,                 2.0661,                 1.6686,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00175,                0.00175,                0.00175
                     28,                 1.3752,                 2.0454,                 1.6639,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00142,                0.00142,                0.00142
                     29,                 1.3449,                 2.0155,                  1.647,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                     30,                 1.3308,                 1.9599,                 1.6343,                0.67222,                0.31344,                0.40765,                0.27829,                 1.6099,                 2.2164,                 1.8805,                0.00076,                0.00076,                0.00076
